    No;           Material;      Hash;   MM_gmol;   Tr_K;         pr_MPa;     Tc_K;       pc_MPa;   Dc_kgm3; acentric;    k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm; dipom_D; gamma_uni;           xi0;     Gamma;         qDinv;      Tref;                                          FullName
   59;             IOCTANE;  c2dd9ef0;  114.2285;   165.770;   1.79600e-08;   544.000;   2.57200;  242.1645;  0.303000;     184.80736;     288.31748;  431.9900;   0.63000;    0.0000;    1.2390;    2.5600e-10;    0.0590;    7.7100e-10;   816.000;                            2,2,4-Trimethylpentane
   60;            IPENTANE;  86ee46a0;   72.1488;   112.650;   8.95200e-11;   460.350;   3.37800;  235.9987;  0.227400;     118.88904;     151.79437;  365.5600;   0.54500;    0.1100;    1.2390;    2.2700e-10;    0.0580;    6.6400e-10;   690.530;                                    2-Methylbutane
   61;            ISOBUTAN;  47ade7e0;   58.1222;   113.730;   2.28900e-08;   407.810;   3.62900;  225.5000;  0.184000;      96.63851;     111.84119;  307.5500;   0.46445;    0.1320;    1.2390;    1.9400e-10;    0.0496;    6.5766e-10;   611.730;                                   2-Methylpropane
   62;             KRYPTON;  d7c8c510;   83.7980;   115.775;   7.35300e-02;   209.480;   5.52500;  909.2083; -0.000894;      20.78615;      -0.00000;  178.9000;   0.36550;    0.0000;    1.2390;    1.6800e-10;    0.0580;    4.3700e-10;   314.220;                                           Krypton
   63;                MD2M;  63e16330;  310.6854;   205.200;   3.12700e-10;   599.400;   1.14400;  268.4322;  0.635000;     416.84805;     440.90912;  476.0000;   0.84900;    1.1200;    1.2390;    3.1100e-10;    0.0660;    1.0490e-09;   899.100;                           Decamethyltetrasiloxane
   64;                MD3M;  7d394df0;  384.8390;   192.000;   2.03000e-13;   628.960;   0.96112;  269.3873;  0.723000;     523.44321;     566.13986;  499.5000;   0.91100;    1.2230;    1.2390;    3.3000e-10;    0.0660;    1.1270e-09;   943.440;                         Dodecamethylpentasiloxane
   65;                MD4M;  eabdcbe0;  458.9933;   214.150;   7.00000e-13;   653.200;   0.84037;  261.6262;  0.806000;     619.53788;     682.14260;  518.7000;   0.97600;    1.3080;    1.2390;    3.4700e-10;    0.0700;    1.2080e-09;   979.800;                       Tetradecamethylhexasiloxane
   66;                 MDM;  4be67b80;  236.5315;   187.200;   1.08150e-09;   565.361;   1.43750;  268.2267;  0.524000;     329.26816;     348.22923;  447.9400;   0.77040;    0.9900;    1.2390;    2.9500e-10;    0.0640;    9.5600e-10;   848.040;                             Octamethyltrisiloxane
   67;                 MEA;  27b11730;   61.0831;   283.700;   1.59070e-05;   671.400;   8.12500;  329.2379;  0.573000;      83.81052;     111.96696;  533.1500;   0.46140;    2.3699;    1.2390;    1.7300e-10;    0.0650;    5.5900e-10;  1007.100;                                      Ethanolamine
   68;             METHANE;  8ae7a700;   16.0428;    90.694;   1.16960e-02;   190.564;   4.59920;  162.6579;  0.011420;      35.70847;       3.30566;  174.0000;   0.36652;    0.0000;    1.2390;    1.9400e-10;    0.0496;    4.0000e-10;   285.846;                                           Methane
   69;            METHANOL;  c41aa690;   32.0422;   175.610;   1.86290e-07;   512.600;   8.10350;  275.5626;  0.562500;      44.02095;      39.66758;  481.8000;   0.36260;    1.7000;    1.2390;    1.4870e-10;    0.0528;    7.0000e-10;   768.900;                                          Methanol
