 num;                                                              Material;     source;       CAS ID;  MM_gmol;     Tc/K;      Pc/MPa;  Dc/kgm3;  Acentric; k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm
 163;                                                       4-methylheptane;    ChemSep;     589-53-7; 114.2285;  561.700;    2.540000;  239.976;  0.371000;      0.00000;      0.00000;      0.00000;  0.00000
 164;                                                        4-methylnonane;    ChemSep;   17301-94-9; 142.2817;  613.700;    2.140000;  240.992;  0.465073;      0.00000;      0.00000;      0.00000;  0.00000
 165;                                                        4-methyloctane;    ChemSep;    2216-34-4; 128.2551;  587.650;    2.340000;  245.230;  0.412925;      0.00000;      0.00000;      0.00000;  0.00000
 166;                                                   5-methyl-2-hexanone;    ChemSep;     110-12-3; 114.1855;  601.000;    2.970000;  271.224;  0.434398;      0.00000;      0.00000;      0.00000;  0.00000
 167;                                                        5-methylnonane;    ChemSep;   15869-85-9; 142.2817;  609.600;    2.140000;  240.992;  0.456177;      0.00000;      0.00000;      0.00000;  0.00000
 168;                                                          Acenaphthene;    ChemSep;      83-32-9; 154.2078;  803.150;    3.100000;  278.857;  0.381147;      0.00000;      0.00000;      0.00000;  0.00000
 169;                                                          Acetaldehyde;    ChemSep;      75-07-0;  44.0526;  466.000;    5.550000;  286.056;  0.290734;      0.00000;      0.00000;      0.00000;  0.00000
 170;                                                           Acetic acid;    ChemSep;      64-19-7;  60.0520;  594.450;    5.790000;  351.181;  0.460000;      0.00000;      0.00000;      0.00000;  0.00000
 171;                                                      Acetic anhydride;    ChemSep;     108-24-7; 102.0886;  569.150;    4.280000;  352.030;  0.809524;      0.00000;      0.00000;      0.00000;  0.00000
 173;                                                          Acetonitrile;    ChemSep;      75-05-8;  41.0519;  545.500;    4.830000;  237.294;  0.337886;      0.00000;      0.00000;      0.00000;  0.00000
